Mnemonic:  EPS_PDAN_V_BAT
Conversion:  Default (EU)
Units:  Volts
Stream:  az1_rt1@bkusvr2
X Time,Y Value,Type,Status,Count
2024-Aug-26-07:00:00.000,32.5541998863220,Arch-hour/Average,EXS,-,Arch-hour/Average SB
2024-Aug-26-08:00:00.000,32.5541998863220,Arch-hour/Average,EXS,-,
2024-Aug-26-08:00:00.000,32.5541890716553,Arch-hour/Average, ,-,
2024-Aug-26-09:00:00.000,32.5541890716553,Arch-hour/Average, ,-,
2024-Aug-26-09:00:00.000,32.5541674423218,Arch-hour/Average, ,-,
2024-Aug-26-10:00:00.000,32.5541674423218,Arch-hour/Average, ,-,
2024-Aug-26-10:00:00.000,32.5542215156555,Arch-hour/Average, ,-,
2024-Aug-26-11:00:00.000,32.5542215156555,Arch-hour/Average, ,-,
2024-Aug-26-11:00:00.000,32.5541458129883,Arch-hour/Average, ,-,
2024-Aug-26-12:00:00.000,32.5541458129883,Arch-hour/Average, ,-,
2024-Aug-26-12:00:00.000,32.5541458129883,Arch-hour/Average, ,-,
2024-Aug-26-13:00:00.000,32.5541458129883,Arch-hour/Average, ,-,
2024-Aug-26-13:00:00.000,32.5541782569885,Arch-hour/Average, ,-,
2024-Aug-26-14:00:00.000,32.5541782569885,Arch-hour/Average, ,-,
2024-Aug-26-14:00:00.000,32.5541890716553,Arch-hour/Average, ,-,
2024-Aug-26-15:00:00.000,32.5541890716553,Arch-hour/Average, ,-,
2024-Aug-26-15:00:00.000,32.5541890716553,Arch-hour/Average, ,-,
2024-Aug-26-16:00:00.000,32.5541890716553,Arch-hour/Average, ,-,
2024-Aug-26-16:00:00.000,32.5542972183228,Arch-hour/Average, ,-,
2024-Aug-26-17:00:00.000,32.5542972183228,Arch-hour/Average, ,-,
2024-Aug-26-17:00:00.000,32.5543296623230,Arch-hour/Average, ,-,
2024-Aug-26-18:00:00.000,32.5543296623230,Arch-hour/Average, ,-,
2024-Aug-26-18:00:00.000,32.5567504721628,Arch-hour/Average, ,-,
